Country,PIB_total,"la concentration moyenne annuelle en PM2,5",PIB_par_habitant,Depenses_en_education_PIB,Esperance_de_vie,Depenses_en_sante_par_habitant,Taux_mortalite_infantile,Acces_electricite,Acces_eau_potable,Taux_pauvrete,Taux_chomage,Acces_internet,Croissance_economique,Croissance_PIB_par_habitant,Ratio_dette_PIB,Investissements_directs_etrangers,Emplois_agriculture,Acces_electricite_categorise,Niveau_de_developpement,Acces_eau_potable_categorise,Taux_pauvrete_categorise
Qatar,144411363345.27,75.6630329481338,51683.5054353851,3.2336699962616,79.099,1997.78820801,5.9,100.0,99.9766796628058,2.0142857142857142,0.14,99.6528,-3.55760399909477,-8.92450818476308,74.4000180705291,-1.68550858996211,1.35425450945327,Élevé,Élevé,Élevé,Faible
Saudi Arabia,734271200000.0,53.1486013629285,23271.4037647084,5.544186517779924,76.239,1355.71655273,7.0,100.0,98.6568008588509,2.0142857142857142,7.45,97.8623,-3.58153486307663,-8.13075233111495,74.4000180705291,0.220799099220468,3.17081033042984,Élevé,Élevé,Élevé,Faible
Singapore,349488382610.662,13.8691955865476,61466.803676358,2.6869900226593,83.5439024390244,3367.7565918,2.3,100.0,100.0,2.0142857142857142,4.1,92.0043,-3.86979893430043,-3.56949598146913,151.566324742808,23.1003005183608,0.122980779860976,Élevé,Élevé,Élevé,Faible
Sri Lanka,84304298770.5329,19.9644408635608,3846.17449566736,1.55792391300201,76.393,158.0,7.0,100.0,88.6959543081265,2.0142857142857142,5.365,36.1847,-4.62451503662909,-5.12926234516283,74.4000180705291,0.514891499955331,27.1240598516649,Élevé,Intermédiaire,Modéré,Faible
Syrian Arab Republic,12047752036.091,24.7058382627422,572.355289831901,4.190439566540057,72.14,784.9523965702324,22.7,89.0,94.0036367979491,2.0142857142857142,15.176,35.78,-0.697154504235129,-3.98011071488936,74.4000180705291,0.2745521617932142,16.0817712534432,Élevé,Faible,Élevé,Faible
Tajikistan,8133963550.65742,37.0534062306267,834.311715460625,5.73725271224976,67.994,70.0,32.4,99.5,81.8524176009632,2.0142857142857142,7.176,27.5441,4.40000111553493,2.05116680370303,74.4000180705291,1.30975252279445,44.8176181249329,Élevé,Faible,Modéré,Faible
Thailand,500461898480.246,31.0072016277159,6985.64393892574,3.15314173698425,79.274,305.08792114,8.7,100.0,100.0,0.0,1.099,77.8437,-6.05003846851622,-6.20637326420599,50.3227814999415,-0.857989527274493,31.3894709947006,Élevé,Intermédiaire,Élevé,Faible
Turkiye,720338490327.248,21.6120469179783,8638.73903848102,4.03382015228271,75.85,395.0,10.5,100.0,97.0142665969339,0.5,13.148,77.6696,1.85987303976462,0.876219397794188,41.801640624815,1.06547131703503,17.5538293565209,Élevé,Intermédiaire,Élevé,Faible
Turkmenistan,45818000000.0,19.5997611438189,6592.60146027748,3.76267004013062,68.687,483.79559326,42.2,100.0,100.0,2.0142857142857142,4.489,68.93815205659091,5.900000048526,3.67579761156229,74.4000180705291,0.2745521617932142,23.4396917847548,Élevé,Intermédiaire,Élevé,Faible
United Arab Emirates,349473015336.939,36.3055030826594,37173.8754100281,3.98417997360229,78.946,2191.81347656,5.9,100.0,100.0,2.0142857142857142,4.294,100.0,-4.95705243652739,-4.50466762810275,74.4000180705291,5.41882467856405,1.78329799635895,Élevé,Élevé,Élevé,Faible
Uzbekistan,66443265418.3086,31.9604294559849,1978.28051860763,4.94803667068481,70.331,121.0,14.7,100.0,95.9578093461551,2.0142857142857142,5.293,71.1,1.56334277259953,-0.316556159764588,74.4000180705291,2.60108803608827,26.8859175817686,Élevé,Faible,Élevé,Faible
Viet Nam,346615738537.796,20.8010641731194,3534.03953482647,3.21652889251709,75.378,154.23510742,20.9,99.8,96.6670224746456,0.7,2.103,70.3,2.86541320912272,1.91581434772165,74.4000180705291,4.55836196782424,32.612391440216,Élevé,Intermédiaire,Élevé,Faible
"Yemen, Rep.",715998339872.7726,34.8323598356099,559.564672794182,5.264144772552239,64.65,784.9523965702324,43.5,73.9,60.6635717973584,2.0142857142857142,17.972,13.8152,-3.973339381453297,-5.087903772136482,74.4000180705291,0.2745521617932142,30.087213468244,Moyenne,Faible,Faible,Faible
